Total sustained cases: 14763\n beta=0.2\t omega=0.85\t t_max=50\n\nF=-0.18, G=0.07, x0=0.89, v0=0.11
F=-0.06, G=-0.36, x0=0.33, v0=0.33
F=-0.06, G=-0.36, x0=0.33, v0=0.44
F=-0.06, G=-0.36, x0=0.33, v0=0.56
F=-0.06, G=-0.36, x0=0.44, v0=0.00
F=-0.06, G=-0.36, x0=0.44, v0=0.11
F=-0.06, G=-0.36, x0=0.44, v0=0.22
F=-0.06, G=-0.36, x0=0.44, v0=0.33
F=-0.06, G=-0.36, x0=0.44, v0=0.44
F=-0.06, G=-0.36, x0=0.56, v0=0.00
F=-0.06, G=-0.36, x0=0.56, v0=0.11
F=-0.06, G=-0.36, x0=0.56, v0=0.22
F=-0.06, G=-0.36, x0=0.56, v0=0.33
F=-0.06, G=-0.36, x0=0.67, v0=0.00
F=-0.06, G=-0.36, x0=0.67, v0=0.11
F=-0.06, G=-0.36, x0=0.67, v0=0.22
F=-0.06, G=-0.36, x0=0.78, v0=0.00
F=-0.06, G=-0.36, x0=0.78, v0=0.11
F=-0.06, G=-0.36, x0=0.78, v0=0.22
F=-0.06, G=-0.36, x0=0.89, v0=0.00
F=-0.06, G=-0.36, x0=0.89, v0=0.11
F=-0.06, G=-0.36, x0=1.00, v0=0.00
F=-0.06, G=-0.34, x0=0.00, v0=0.00
F=-0.06, G=-0.34, x0=0.00, v0=0.11
F=-0.06, G=-0.34, x0=0.00, v0=0.22
F=-0.06, G=-0.34, x0=0.00, v0=0.33
F=-0.06, G=-0.34, x0=0.00, v0=0.44
F=-0.06, G=-0.34, x0=0.00, v0=0.56
F=-0.06, G=-0.34, x0=0.00, v0=0.67
F=-0.06, G=-0.34, x0=0.11, v0=0.00
F=-0.06, G=-0.34, x0=0.11, v0=0.11
F=-0.06, G=-0.34, x0=0.11, v0=0.22
F=-0.06, G=-0.34, x0=0.11, v0=0.33
F=-0.06, G=-0.34, x0=0.11, v0=0.44
F=-0.06, G=-0.34, x0=0.11, v0=0.56
F=-0.06, G=-0.34, x0=0.11, v0=0.67
F=-0.06, G=-0.34, x0=0.22, v0=0.00
F=-0.06, G=-0.34, x0=0.22, v0=0.11
F=-0.06, G=-0.34, x0=0.22, v0=0.22
F=-0.06, G=-0.34, x0=0.22, v0=0.33
F=-0.06, G=-0.34, x0=0.22, v0=0.44
F=-0.06, G=-0.34, x0=0.22, v0=0.56
F=-0.06, G=-0.34, x0=0.33, v0=0.00
F=-0.06, G=-0.34, x0=0.33, v0=0.11
F=-0.06, G=-0.34, x0=0.33, v0=0.22
F=-0.06, G=-0.34, x0=0.33, v0=0.33
F=-0.06, G=-0.34, x0=0.33, v0=0.44
F=-0.06, G=-0.34, x0=0.33, v0=0.56
F=-0.06, G=-0.34, x0=0.44, v0=0.00
F=-0.06, G=-0.34, x0=0.44, v0=0.11
F=-0.06, G=-0.34, x0=0.44, v0=0.22
F=-0.06, G=-0.34, x0=0.44, v0=0.33
F=-0.06, G=-0.34, x0=0.44, v0=0.44
F=-0.06, G=-0.34, x0=0.56, v0=0.00
F=-0.06, G=-0.34, x0=0.56, v0=0.11
F=-0.06, G=-0.34, x0=0.56, v0=0.22
F=-0.06, G=-0.34, x0=0.56, v0=0.33
F=-0.06, G=-0.34, x0=0.67, v0=0.00
F=-0.06, G=-0.34, x0=0.67, v0=0.11
F=-0.06, G=-0.34, x0=0.67, v0=0.22
F=-0.06, G=-0.34, x0=0.78, v0=0.00
F=-0.06, G=-0.34, x0=0.78, v0=0.11
F=-0.06, G=-0.34, x0=0.78, v0=0.22
F=-0.06, G=-0.34, x0=0.89, v0=0.00
F=-0.06, G=-0.34, x0=0.89, v0=0.11
F=-0.06, G=-0.34, x0=1.00, v0=0.00
F=-0.06, G=-0.32, x0=0.00, v0=0.00
F=-0.06, G=-0.32, x0=0.00, v0=0.11
F=-0.06, G=-0.32, x0=0.00, v0=0.22
F=-0.06, G=-0.32, x0=0.00, v0=0.33
F=-0.06, G=-0.32, x0=0.00, v0=0.44
F=-0.06, G=-0.32, x0=0.00, v0=0.56
F=-0.06, G=-0.32, x0=0.00, v0=0.67
F=-0.06, G=-0.32, x0=0.11, v0=0.00
F=-0.06, G=-0.32, x0=0.11, v0=0.11
F=-0.06, G=-0.32, x0=0.11, v0=0.22
F=-0.06, G=-0.32, x0=0.11, v0=0.33
F=-0.06, G=-0.32, x0=0.11, v0=0.44
F=-0.06, G=-0.32, x0=0.11, v0=0.56
F=-0.06, G=-0.32, x0=0.11, v0=0.67
F=-0.06, G=-0.32, x0=0.22, v0=0.00
F=-0.06, G=-0.32, x0=0.22, v0=0.11
F=-0.06, G=-0.32, x0=0.22, v0=0.22
F=-0.06, G=-0.32, x0=0.22, v0=0.33
F=-0.06, G=-0.32, x0=0.22, v0=0.44
F=-0.06, G=-0.32, x0=0.22, v0=0.56
F=-0.06, G=-0.32, x0=0.33, v0=0.00
F=-0.06, G=-0.32, x0=0.33, v0=0.11
F=-0.06, G=-0.32, x0=0.33, v0=0.22
F=-0.06, G=-0.32, x0=0.33, v0=0.33
F=-0.06, G=-0.32, x0=0.33, v0=0.44
F=-0.06, G=-0.32, x0=0.33, v0=0.56
F=-0.06, G=-0.32, x0=0.44, v0=0.00
F=-0.06, G=-0.32, x0=0.44, v0=0.11
F=-0.06, G=-0.32, x0=0.44, v0=0.22
F=-0.06, G=-0.32, x0=0.44, v0=0.33
F=-0.06, G=-0.32, x0=0.44, v0=0.44
F=-0.06, G=-0.32, x0=0.56, v0=0.00
F=-0.06, G=-0.32, x0=0.56, v0=0.11
F=-0.06, G=-0.32, x0=0.56, v0=0.22
F=-0.06, G=-0.32, x0=0.56, v0=0.33
F=-0.06, G=-0.32, x0=0.67, v0=0.00
F=-0.06, G=-0.32, x0=0.67, v0=0.11
F=-0.06, G=-0.32, x0=0.67, v0=0.22
F=-0.06, G=-0.32, x0=0.78, v0=0.00
F=-0.06, G=-0.32, x0=0.78, v0=0.11
F=-0.06, G=-0.32, x0=0.78, v0=0.22
F=-0.06, G=-0.32, x0=0.89, v0=0.00
F=-0.06, G=-0.32, x0=0.89, v0=0.11
F=-0.06, G=-0.32, x0=1.00, v0=0.00
F=-0.06, G=-0.30, x0=0.00, v0=0.00
F=-0.06, G=-0.30, x0=0.00, v0=0.11
F=-0.06, G=-0.30, x0=0.00, v0=0.22
F=-0.06, G=-0.30, x0=0.00, v0=0.33
F=-0.06, G=-0.30, x0=0.00, v0=0.44
F=-0.06, G=-0.30, x0=0.00, v0=0.56
F=-0.06, G=-0.30, x0=0.00, v0=0.67
F=-0.06, G=-0.30, x0=0.11, v0=0.00
F=-0.06, G=-0.30, x0=0.11, v0=0.11
F=-0.06, G=-0.30, x0=0.11, v0=0.22
F=-0.06, G=-0.30, x0=0.11, v0=0.33
F=-0.06, G=-0.30, x0=0.11, v0=0.44
F=-0.06, G=-0.30, x0=0.11, v0=0.56
F=-0.06, G=-0.30, x0=0.11, v0=0.67
F=-0.06, G=-0.30, x0=0.22, v0=0.00
F=-0.06, G=-0.30, x0=0.22, v0=0.11
F=-0.06, G=-0.30, x0=0.22, v0=0.22
F=-0.06, G=-0.30, x0=0.22, v0=0.33
F=-0.06, G=-0.30, x0=0.22, v0=0.44
F=-0.06, G=-0.30, x0=0.22, v0=0.56
F=-0.06, G=-0.30, x0=0.33, v0=0.00
F=-0.06, G=-0.30, x0=0.33, v0=0.11
F=-0.06, G=-0.30, x0=0.33, v0=0.22
F=-0.06, G=-0.30, x0=0.33, v0=0.33
F=-0.06, G=-0.30, x0=0.33, v0=0.44
F=-0.06, G=-0.30, x0=0.33, v0=0.56
F=-0.06, G=-0.30, x0=0.44, v0=0.00
F=-0.06, G=-0.30, x0=0.44, v0=0.11
F=-0.06, G=-0.30, x0=0.44, v0=0.22
F=-0.06, G=-0.30, x0=0.44, v0=0.33
F=-0.06, G=-0.30, x0=0.44, v0=0.44
F=-0.06, G=-0.30, x0=0.56, v0=0.00
F=-0.06, G=-0.30, x0=0.56, v0=0.11
F=-0.06, G=-0.30, x0=0.56, v0=0.22
F=-0.06, G=-0.30, x0=0.56, v0=0.33
F=-0.06, G=-0.30, x0=0.67, v0=0.00
F=-0.06, G=-0.30, x0=0.67, v0=0.11
F=-0.06, G=-0.30, x0=0.67, v0=0.22
F=-0.06, G=-0.30, x0=0.67, v0=0.33
F=-0.06, G=-0.30, x0=0.78, v0=0.00
F=-0.06, G=-0.30, x0=0.78, v0=0.11
F=-0.06, G=-0.30, x0=0.78, v0=0.22
F=-0.06, G=-0.30, x0=0.89, v0=0.00
F=-0.06, G=-0.30, x0=0.89, v0=0.11
F=-0.06, G=-0.30, x0=1.00, v0=0.00
F=-0.06, G=-0.28, x0=0.00, v0=0.00
F=-0.06, G=-0.28, x0=0.00, v0=0.11
F=-0.06, G=-0.28, x0=0.00, v0=0.22
F=-0.06, G=-0.28, x0=0.00, v0=0.33
F=-0.06, G=-0.28, x0=0.00, v0=0.44
F=-0.06, G=-0.28, x0=0.00, v0=0.56
F=-0.06, G=-0.28, x0=0.00, v0=0.67
F=-0.06, G=-0.28, x0=0.11, v0=0.00
F=-0.06, G=-0.28, x0=0.11, v0=0.11
F=-0.06, G=-0.28, x0=0.11, v0=0.22
F=-0.06, G=-0.28, x0=0.11, v0=0.33
F=-0.06, G=-0.28, x0=0.11, v0=0.44
F=-0.06, G=-0.28, x0=0.11, v0=0.56
F=-0.06, G=-0.28, x0=0.11, v0=0.67
F=-0.06, G=-0.28, x0=0.22, v0=0.00
F=-0.06, G=-0.28, x0=0.22, v0=0.11
F=-0.06, G=-0.28, x0=0.22, v0=0.22
F=-0.06, G=-0.28, x0=0.22, v0=0.33
F=-0.06, G=-0.28, x0=0.22, v0=0.44
F=-0.06, G=-0.28, x0=0.22, v0=0.56
F=-0.06, G=-0.28, x0=0.33, v0=0.00
F=-0.06, G=-0.28, x0=0.33, v0=0.11
F=-0.06, G=-0.28, x0=0.33, v0=0.22
F=-0.06, G=-0.28, x0=0.33, v0=0.33
F=-0.06, G=-0.28, x0=0.33, v0=0.44
F=-0.06, G=-0.28, x0=0.33, v0=0.56
F=-0.06, G=-0.28, x0=0.44, v0=0.00
F=-0.06, G=-0.28, x0=0.44, v0=0.11
F=-0.06, G=-0.28, x0=0.44, v0=0.22
F=-0.06, G=-0.28, x0=0.44, v0=0.33
F=-0.06, G=-0.28, x0=0.44, v0=0.44
F=-0.06, G=-0.28, x0=0.56, v0=0.00
F=-0.06, G=-0.28, x0=0.56, v0=0.11
F=-0.06, G=-0.28, x0=0.56, v0=0.22
F=-0.06, G=-0.28, x0=0.56, v0=0.33
F=-0.06, G=-0.28, x0=0.67, v0=0.00
F=-0.06, G=-0.28, x0=0.67, v0=0.11
F=-0.06, G=-0.28, x0=0.67, v0=0.22
F=-0.06, G=-0.28, x0=0.67, v0=0.33
F=-0.06, G=-0.28, x0=0.78, v0=0.00
F=-0.06, G=-0.28, x0=0.78, v0=0.11
F=-0.06, G=-0.28, x0=0.78, v0=0.22
F=-0.06, G=-0.28, x0=0.89, v0=0.00
F=-0.06, G=-0.28, x0=0.89, v0=0.11
F=-0.06, G=-0.28, x0=1.00, v0=0.00
F=-0.06, G=-0.26, x0=0.00, v0=0.00
F=-0.06, G=-0.26, x0=0.00, v0=0.11
F=-0.06, G=-0.26, x0=0.00, v0=0.22
F=-0.06, G=-0.26, x0=0.00, v0=0.33
F=-0.06, G=-0.26, x0=0.00, v0=0.44
F=-0.06, G=-0.26, x0=0.00, v0=0.56
F=-0.06, G=-0.26, x0=0.00, v0=0.67
F=-0.06, G=-0.26, x0=0.11, v0=0.00
F=-0.06, G=-0.26, x0=0.11, v0=0.11
F=-0.06, G=-0.26, x0=0.11, v0=0.22
F=-0.06, G=-0.26, x0=0.11, v0=0.33
F=-0.06, G=-0.26, x0=0.11, v0=0.44
F=-0.06, G=-0.26, x0=0.11, v0=0.56
F=-0.06, G=-0.26, x0=0.11, v0=0.67
F=-0.06, G=-0.26, x0=0.22, v0=0.00
F=-0.06, G=-0.26, x0=0.22, v0=0.11
F=-0.06, G=-0.26, x0=0.22, v0=0.22
F=-0.06, G=-0.26, x0=0.22, v0=0.33
F=-0.06, G=-0.26, x0=0.22, v0=0.44
F=-0.06, G=-0.26, x0=0.22, v0=0.56
F=-0.06, G=-0.26, x0=0.33, v0=0.00
F=-0.06, G=-0.26, x0=0.33, v0=0.11
F=-0.06, G=-0.26, x0=0.33, v0=0.22
F=-0.06, G=-0.26, x0=0.33, v0=0.33
F=-0.06, G=-0.26, x0=0.33, v0=0.44
F=-0.06, G=-0.26, x0=0.33, v0=0.56
F=-0.06, G=-0.26, x0=0.44, v0=0.00
F=-0.06, G=-0.26, x0=0.44, v0=0.11
F=-0.06, G=-0.26, x0=0.44, v0=0.22
F=-0.06, G=-0.26, x0=0.44, v0=0.33
F=-0.06, G=-0.26, x0=0.44, v0=0.44
F=-0.06, G=-0.26, x0=0.56, v0=0.00
F=-0.06, G=-0.26, x0=0.56, v0=0.11
F=-0.06, G=-0.26, x0=0.56, v0=0.22
F=-0.06, G=-0.26, x0=0.56, v0=0.33
F=-0.06, G=-0.26, x0=0.67, v0=0.00
F=-0.06, G=-0.26, x0=0.67, v0=0.11
F=-0.06, G=-0.26, x0=0.67, v0=0.22
F=-0.06, G=-0.26, x0=0.67, v0=0.33
F=-0.06, G=-0.26, x0=0.78, v0=0.00
F=-0.06, G=-0.26, x0=0.78, v0=0.11
F=-0.06, G=-0.26, x0=0.78, v0=0.22
F=-0.06, G=-0.26, x0=0.89, v0=0.00
F=-0.06, G=-0.26, x0=0.89, v0=0.11
F=-0.06, G=-0.26, x0=1.00, v0=0.00
F=-0.06, G=-0.23, x0=0.00, v0=0.00
F=-0.06, G=-0.23, x0=0.00, v0=0.11
F=-0.06, G=-0.23, x0=0.00, v0=0.22
F=-0.06, G=-0.23, x0=0.00, v0=0.33
F=-0.06, G=-0.23, x0=0.00, v0=0.44
F=-0.06, G=-0.23, x0=0.00, v0=0.56
F=-0.06, G=-0.23, x0=0.00, v0=0.67
F=-0.06, G=-0.23, x0=0.11, v0=0.00
F=-0.06, G=-0.23, x0=0.11, v0=0.11
F=-0.06, G=-0.23, x0=0.11, v0=0.22
F=-0.06, G=-0.23, x0=0.11, v0=0.33
F=-0.06, G=-0.23, x0=0.11, v0=0.44
F=-0.06, G=-0.23, x0=0.11, v0=0.56
F=-0.06, G=-0.23, x0=0.11, v0=0.67
F=-0.06, G=-0.23, x0=0.22, v0=0.00
F=-0.06, G=-0.23, x0=0.22, v0=0.11
F=-0.06, G=-0.23, x0=0.22, v0=0.22
F=-0.06, G=-0.23, x0=0.22, v0=0.33
F=-0.06, G=-0.23, x0=0.22, v0=0.44
F=-0.06, G=-0.23, x0=0.22, v0=0.56
F=-0.06, G=-0.23, x0=0.33, v0=0.00
F=-0.06, G=-0.23, x0=0.33, v0=0.11
F=-0.06, G=-0.23, x0=0.33, v0=0.22
F=-0.06, G=-0.23, x0=0.33, v0=0.33
F=-0.06, G=-0.23, x0=0.33, v0=0.44
F=-0.06, G=-0.23, x0=0.33, v0=0.56
F=-0.06, G=-0.23, x0=0.44, v0=0.00
F=-0.06, G=-0.23, x0=0.44, v0=0.11
F=-0.06, G=-0.23, x0=0.44, v0=0.22
F=-0.06, G=-0.23, x0=0.44, v0=0.33
F=-0.06, G=-0.23, x0=0.44, v0=0.44
F=-0.06, G=-0.23, x0=0.56, v0=0.00
F=-0.06, G=-0.23, x0=0.56, v0=0.11
F=-0.06, G=-0.23, x0=0.56, v0=0.22
F=-0.06, G=-0.23, x0=0.56, v0=0.33
F=-0.06, G=-0.23, x0=0.67, v0=0.00
F=-0.06, G=-0.23, x0=0.67, v0=0.11
F=-0.06, G=-0.23, x0=0.67, v0=0.22
F=-0.06, G=-0.23, x0=0.67, v0=0.33
F=-0.06, G=-0.23, x0=0.78, v0=0.00
F=-0.06, G=-0.23, x0=0.78, v0=0.11
F=-0.06, G=-0.23, x0=0.78, v0=0.22
F=-0.06, G=-0.23, x0=0.89, v0=0.00
F=-0.06, G=-0.23, x0=0.89, v0=0.11
F=-0.06, G=-0.23, x0=1.00, v0=0.00
F=-0.06, G=-0.21, x0=0.00, v0=0.00
F=-0.06, G=-0.21, x0=0.00, v0=0.11
F=-0.06, G=-0.21, x0=0.00, v0=0.22
F=-0.06, G=-0.21, x0=0.00, v0=0.33
F=-0.06, G=-0.21, x0=0.00, v0=0.44
F=-0.06, G=-0.21, x0=0.00, v0=0.56
F=-0.06, G=-0.21, x0=0.00, v0=0.67
F=-0.06, G=-0.21, x0=0.11, v0=0.00
F=-0.06, G=-0.21, x0=0.11, v0=0.11
F=-0.06, G=-0.21, x0=0.11, v0=0.22
F=-0.06, G=-0.21, x0=0.11, v0=0.33
F=-0.06, G=-0.21, x0=0.11, v0=0.44
F=-0.06, G=-0.21, x0=0.11, v0=0.56
F=-0.06, G=-0.21, x0=0.11, v0=0.67
F=-0.06, G=-0.21, x0=0.22, v0=0.00
F=-0.06, G=-0.21, x0=0.22, v0=0.11
F=-0.06, G=-0.21, x0=0.22, v0=0.22
F=-0.06, G=-0.21, x0=0.22, v0=0.33
F=-0.06, G=-0.21, x0=0.22, v0=0.44
F=-0.06, G=-0.21, x0=0.22, v0=0.56
F=-0.06, G=-0.21, x0=0.33, v0=0.00
F=-0.06, G=-0.21, x0=0.33, v0=0.11
F=-0.06, G=-0.21, x0=0.33, v0=0.22
F=-0.06, G=-0.21, x0=0.33, v0=0.33
F=-0.06, G=-0.21, x0=0.33, v0=0.44
F=-0.06, G=-0.21, x0=0.33, v0=0.56
F=-0.06, G=-0.21, x0=0.44, v0=0.00
F=-0.06, G=-0.21, x0=0.44, v0=0.11
F=-0.06, G=-0.21, x0=0.44, v0=0.22
F=-0.06, G=-0.21, x0=0.44, v0=0.33
F=-0.06, G=-0.21, x0=0.44, v0=0.44
F=-0.06, G=-0.21, x0=0.56, v0=0.00
F=-0.06, G=-0.21, x0=0.56, v0=0.11
F=-0.06, G=-0.21, x0=0.56, v0=0.22
F=-0.06, G=-0.21, x0=0.56, v0=0.33
F=-0.06, G=-0.21, x0=0.67, v0=0.00
F=-0.06, G=-0.21, x0=0.67, v0=0.11
F=-0.06, G=-0.21, x0=0.67, v0=0.22
F=-0.06, G=-0.21, x0=0.67, v0=0.33
F=-0.06, G=-0.21, x0=0.78, v0=0.00
F=-0.06, G=-0.21, x0=0.78, v0=0.11
F=-0.06, G=-0.21, x0=0.78, v0=0.22
F=-0.06, G=-0.21, x0=0.89, v0=0.00
F=-0.06, G=-0.21, x0=0.89, v0=0.11
F=-0.06, G=-0.21, x0=1.00, v0=0.00
F=-0.06, G=-0.19, x0=0.00, v0=0.00
F=-0.06, G=-0.19, x0=0.00, v0=0.11
F=-0.06, G=-0.19, x0=0.00, v0=0.22
F=-0.06, G=-0.19, x0=0.00, v0=0.33
F=-0.06, G=-0.19, x0=0.00, v0=0.44
F=-0.06, G=-0.19, x0=0.00, v0=0.56
F=-0.06, G=-0.19, x0=0.00, v0=0.67
F=-0.06, G=-0.19, x0=0.11, v0=0.00
F=-0.06, G=-0.19, x0=0.11, v0=0.11
F=-0.06, G=-0.19, x0=0.11, v0=0.22
F=-0.06, G=-0.19, x0=0.11, v0=0.33
F=-0.06, G=-0.19, x0=0.11, v0=0.44
F=-0.06, G=-0.19, x0=0.11, v0=0.56
F=-0.06, G=-0.19, x0=0.11, v0=0.67
F=-0.06, G=-0.19, x0=0.22, v0=0.00
F=-0.06, G=-0.19, x0=0.22, v0=0.11
F=-0.06, G=-0.19, x0=0.22, v0=0.22
F=-0.06, G=-0.19, x0=0.22, v0=0.33
F=-0.06, G=-0.19, x0=0.22, v0=0.44
F=-0.06, G=-0.19, x0=0.22, v0=0.56
F=-0.06, G=-0.19, x0=0.33, v0=0.00
F=-0.06, G=-0.19, x0=0.33, v0=0.11
F=-0.06, G=-0.19, x0=0.33, v0=0.22
F=-0.06, G=-0.19, x0=0.33, v0=0.33
F=-0.06, G=-0.19, x0=0.33, v0=0.44
F=-0.06, G=-0.19, x0=0.33, v0=0.56
F=-0.06, G=-0.19, x0=0.44, v0=0.00
F=-0.06, G=-0.19, x0=0.44, v0=0.11
F=-0.06, G=-0.19, x0=0.44, v0=0.22
F=-0.06, G=-0.19, x0=0.44, v0=0.33
F=-0.06, G=-0.19, x0=0.44, v0=0.44
F=-0.06, G=-0.19, x0=0.56, v0=0.00
F=-0.06, G=-0.19, x0=0.56, v0=0.11
F=-0.06, G=-0.19, x0=0.56, v0=0.22
F=-0.06, G=-0.19, x0=0.56, v0=0.33
F=-0.06, G=-0.19, x0=0.67, v0=0.00
F=-0.06, G=-0.19, x0=0.67, v0=0.11
F=-0.06, G=-0.19, x0=0.67, v0=0.22
F=-0.06, G=-0.19, x0=0.67, v0=0.33
F=-0.06, G=-0.19, x0=0.78, v0=0.00
F=-0.06, G=-0.19, x0=0.78, v0=0.11
F=-0.06, G=-0.19, x0=0.78, v0=0.22
F=-0.06, G=-0.19, x0=0.89, v0=0.00
F=-0.06, G=-0.19, x0=0.89, v0=0.11
F=-0.06, G=-0.19, x0=1.00, v0=0.00
F=-0.06, G=-0.17, x0=0.00, v0=0.00
F=-0.06, G=-0.17, x0=0.00, v0=0.11
F=-0.06, G=-0.17, x0=0.00, v0=0.22
F=-0.06, G=-0.17, x0=0.00, v0=0.33
F=-0.06, G=-0.17, x0=0.00, v0=0.44
F=-0.06, G=-0.17, x0=0.00, v0=0.56
F=-0.06, G=-0.17, x0=0.00, v0=0.67
F=-0.06, G=-0.17, x0=0.11, v0=0.00
F=-0.06, G=-0.17, x0=0.11, v0=0.11
F=-0.06, G=-0.17, x0=0.11, v0=0.22
F=-0.06, G=-0.17, x0=0.11, v0=0.33
F=-0.06, G=-0.17, x0=0.11, v0=0.44
F=-0.06, G=-0.17, x0=0.11, v0=0.56
F=-0.06, G=-0.17, x0=0.11, v0=0.67
F=-0.06, G=-0.17, x0=0.22, v0=0.00
F=-0.06, G=-0.17, x0=0.22, v0=0.11
F=-0.06, G=-0.17, x0=0.22, v0=0.22
F=-0.06, G=-0.17, x0=0.22, v0=0.33
F=-0.06, G=-0.17, x0=0.22, v0=0.44
F=-0.06, G=-0.17, x0=0.22, v0=0.56
F=-0.06, G=-0.17, x0=0.33, v0=0.00
F=-0.06, G=-0.17, x0=0.33, v0=0.11
F=-0.06, G=-0.17, x0=0.33, v0=0.22
F=-0.06, G=-0.17, x0=0.33, v0=0.33
F=-0.06, G=-0.17, x0=0.33, v0=0.44
F=-0.06, G=-0.17, x0=0.33, v0=0.56
F=-0.06, G=-0.17, x0=0.44, v0=0.00
F=-0.06, G=-0.17, x0=0.44, v0=0.11
F=-0.06, G=-0.17, x0=0.44, v0=0.22
F=-0.06, G=-0.17, x0=0.44, v0=0.33
F=-0.06, G=-0.17, x0=0.44, v0=0.44
F=-0.06, G=-0.17, x0=0.56, v0=0.00
F=-0.06, G=-0.17, x0=0.56, v0=0.11
F=-0.06, G=-0.17, x0=0.56, v0=0.22
F=-0.06, G=-0.17, x0=0.56, v0=0.33
F=-0.06, G=-0.17, x0=0.67, v0=0.00
F=-0.06, G=-0.17, x0=0.67, v0=0.11
F=-0.06, G=-0.17, x0=0.67, v0=0.22
F=-0.06, G=-0.17, x0=0.67, v0=0.33
F=-0.06, G=-0.17, x0=0.78, v0=0.00
F=-0.06, G=-0.17, x0=0.78, v0=0.11
F=-0.06, G=-0.17, x0=0.78, v0=0.22
F=-0.06, G=-0.17, x0=0.89, v0=0.00
F=-0.06, G=-0.17, x0=0.89, v0=0.11
F=-0.06, G=-0.17, x0=1.00, v0=0.00
F=-0.06, G=-0.15, x0=0.00, v0=0.00
F=-0.06, G=-0.15, x0=0.00, v0=0.11
F=-0.06, G=-0.15, x0=0.00, v0=0.22
F=-0.06, G=-0.15, x0=0.00, v0=0.33
F=-0.06, G=-0.15, x0=0.00, v0=0.44
F=-0.06, G=-0.15, x0=0.00, v0=0.56
F=-0.06, G=-0.15, x0=0.00, v0=0.67
F=-0.06, G=-0.15, x0=0.11, v0=0.00
F=-0.06, G=-0.15, x0=0.11, v0=0.11
F=-0.06, G=-0.15, x0=0.11, v0=0.22
F=-0.06, G=-0.15, x0=0.11, v0=0.33
F=-0.06, G=-0.15, x0=0.11, v0=0.44
F=-0.06, G=-0.15, x0=0.11, v0=0.56
F=-0.06, G=-0.15, x0=0.11, v0=0.67
F=-0.06, G=-0.15, x0=0.22, v0=0.00
F=-0.06, G=-0.15, x0=0.22, v0=0.11
F=-0.06, G=-0.15, x0=0.22, v0=0.22
F=-0.06, G=-0.15, x0=0.22, v0=0.33
F=-0.06, G=-0.15, x0=0.22, v0=0.44
F=-0.06, G=-0.15, x0=0.22, v0=0.56
F=-0.06, G=-0.15, x0=0.33, v0=0.00
F=-0.06, G=-0.15, x0=0.33, v0=0.11
F=-0.06, G=-0.15, x0=0.33, v0=0.22
F=-0.06, G=-0.15, x0=0.33, v0=0.33
F=-0.06, G=-0.15, x0=0.33, v0=0.44
F=-0.06, G=-0.15, x0=0.33, v0=0.56
F=-0.06, G=-0.15, x0=0.44, v0=0.00
F=-0.06, G=-0.15, x0=0.44, v0=0.11
F=-0.06, G=-0.15, x0=0.44, v0=0.22
F=-0.06, G=-0.15, x0=0.44, v0=0.33
F=-0.06, G=-0.15, x0=0.44, v0=0.44
F=-0.06, G=-0.15, x0=0.56, v0=0.00
F=-0.06, G=-0.15, x0=0.56, v0=0.11
F=-0.06, G=-0.15, x0=0.56, v0=0.22
F=-0.06, G=-0.15, x0=0.56, v0=0.33
F=-0.06, G=-0.15, x0=0.67, v0=0.00
F=-0.06, G=-0.15, x0=0.67, v0=0.11
F=-0.06, G=-0.15, x0=0.67, v0=0.22
F=-0.06, G=-0.15, x0=0.67, v0=0.33
F=-0.06, G=-0.15, x0=0.78, v0=0.00
F=-0.06, G=-0.15, x0=0.78, v0=0.11
F=-0.06, G=-0.15, x0=0.78, v0=0.22
F=-0.06, G=-0.15, x0=0.89, v0=0.00
F=-0.06, G=-0.15, x0=0.89, v0=0.11
F=-0.06, G=-0.15, x0=1.00, v0=0.00
F=-0.06, G=-0.13, x0=0.00, v0=0.00
F=-0.06, G=-0.13, x0=0.00, v0=0.11
F=-0.06, G=-0.13, x0=0.00, v0=0.22
F=-0.06, G=-0.13, x0=0.00, v0=0.33
F=-0.06, G=-0.13, x0=0.00, v0=0.44
F=-0.06, G=-0.13, x0=0.00, v0=0.56
F=-0.06, G=-0.13, x0=0.00, v0=0.67
F=-0.06, G=-0.13, x0=0.11, v0=0.00
F=-0.06, G=-0.13, x0=0.11, v0=0.11
F=-0.06, G=-0.13, x0=0.11, v0=0.22
F=-0.06, G=-0.13, x0=0.11, v0=0.33
F=-0.06, G=-0.13, x0=0.11, v0=0.44
F=-0.06, G=-0.13, x0=0.11, v0=0.56
F=-0.06, G=-0.13, x0=0.11, v0=0.67
F=-0.06, G=-0.13, x0=0.22, v0=0.00
F=-0.06, G=-0.13, x0=0.22, v0=0.11
F=-0.06, G=-0.13, x0=0.22, v0=0.22
F=-0.06, G=-0.13, x0=0.22, v0=0.33
F=-0.06, G=-0.13, x0=0.22, v0=0.44
F=-0.06, G=-0.13, x0=0.22, v0=0.56
F=-0.06, G=-0.13, x0=0.33, v0=0.00
F=-0.06, G=-0.13, x0=0.33, v0=0.11
F=-0.06, G=-0.13, x0=0.33, v0=0.22
F=-0.06, G=-0.13, x0=0.33, v0=0.33
F=-0.06, G=-0.13, x0=0.33, v0=0.44
F=-0.06, G=-0.13, x0=0.33, v0=0.56
F=-0.06, G=-0.13, x0=0.44, v0=0.00
F=-0.06, G=-0.13, x0=0.44, v0=0.11
